sample_nr,compound,Name,Type,Area,conc,pre_crop,trt,pre_crop_long
24,DIMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_05,Analyte,2.482,5.4,Tri,w,Triticum_aestivum
25,DIMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_03,Analyte,4.274,6.8,Tri,w,Triticum_aestivum
26,DIMBOA,20201001_VG_Soil_Bx_Exp12_Pha_w_12,Analyte,28.222,26.5,Pha,w,Phacelia_tanacetifolia
27,DIMBOA,20201001_VG_Soil_Bx_Exp12_Med_w_10,Analyte,30.186,28.1,Med,w,Medicago_sativa
28,DIMBOA,20201001_VG_Soil_Bx_Exp12_Gly_w_03,Analyte,16.147,16.6,Gly,w,Glycine_max
29,DIMBOA,20201001_VG_Soil_Bx_Exp12_Gly_b_08,Analyte,NA,NA,Gly,b,Glycine_max
30,DIMBOA,20201001_VG_Soil_Bx_Exp12_Pha_b_08,Analyte,NA,NA,Pha,b,Phacelia_tanacetifolia
31,DIMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_01,Analyte,0.974,4.1,Tri,w,Triticum_aestivum
32,DIMBOA,20201001_VG_Soil_Bx_Exp12_Tri_b_03,Analyte,NA,NA,Tri,b,Triticum_aestivum
33,DIMBOA,20201001_VG_Soil_Bx_Exp12_Pha_w_09,Analyte,16.824,17.1,Pha,w,Phacelia_tanacetifolia
34,DIMBOA,20201001_VG_Soil_Bx_Exp12_Gly_w_08,Analyte,1.084,4.2,Gly,w,Glycine_max
35,DIMBOA,20201001_VG_Soil_Bx_Exp12_Med_w_08,Analyte,12.191,13.3,Med,w,Medicago_sativa
36,DIMBOA,20201001_VG_Soil_Bx_Exp12_Bra_w_06,Analyte,1.285,4.4,Bra,w,Brassica_napus
37,DIMBOA,20201001_VG_Soil_Bx_Exp12_Bra_b_06,Analyte,NA,NA,Bra,b,Brassica_napus
38,DIMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_11,Analyte,1.392,4.5,Tri,w,Triticum_aestivum
