"sample_nr","Name","Type","compound","Area","ng_mL","pre_crop_trt","BX_comp","pre_crop","trt","trt_comp"
5,"20210126_VG_exp_16_Tri_b_BX_01","Analyte","HMBOA",NA,NA,"Tri_b","comp","Tri","b","b_comp"
6,"20210126_VG_exp_16_Tri_b_02","Analyte","HMBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
7,"20210126_VG_exp_16_Tri_W_02","Analyte","HMBOA",96.4,35.5,"Tri_W","no","Tri","W","W_no"
8,"20210126_VG_exp_16_Tri_b_03","Analyte","HMBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
9,"20210126_VG_exp_16_Tri_W_03","Analyte","HMBOA",148.208,54.2,"Tri_W","no","Tri","W","W_no"
11,"20210126_VG_exp_16_Tri_b_05","Analyte","HMBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
12,"20210126_VG_exp_16_Tri_W_05","Analyte","HMBOA",286.234,104,"Tri_W","no","Tri","W","W_no"
13,"20210126_VG_exp_16_Tri_b_BX_07","Analyte","HMBOA",2.251,1.6,"Tri_b","comp","Tri","b","b_comp"
14,"20210126_VG_exp_16_Tri_b_08","Analyte","HMBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
15,"20210126_VG_exp_16_Tri_b_BX_09","Analyte","HMBOA",2.703,1.7,"Tri_b","comp","Tri","b","b_comp"
16,"20210126_VG_exp_16_Tri_b_BX_10","Analyte","HMBOA",NA,NA,"Tri_b","comp","Tri","b","b_comp"
17,"20210126_VG_exp_16_Tri_b_11","Analyte","HMBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
18,"20210126_VG_exp_16_Tri_W_12","Analyte","HMBOA",199.135,72.6,"Tri_W","no","Tri","W","W_no"
19,"20210126_VG_exp_16_Tri_b_BX_13","Analyte","HMBOA",NA,NA,"Tri_b","comp","Tri","b","b_comp"
20,"20210126_VG_exp_16_Tri_W_13","Analyte","HMBOA",842.104,304.4,"Tri_W","no","Tri","W","W_no"
22,"20210126_VG_exp_16_Tri_b_BX_16","Analyte","HMBOA",NA,NA,"Tri_b","comp","Tri","b","b_comp"
23,"20210126_VG_exp_16_Tri_W_16","Analyte","HMBOA",522.697,189.2,"Tri_W","no","Tri","W","W_no"
24,"20210126_VG_exp_16_Tri_b_16","Analyte","HMBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
5,"20210126_VG_exp_16_Tri_b_BX_01","Analyte","DIMBOA",NA,NA,"Tri_b","comp","Tri","b","b_comp"
6,"20210126_VG_exp_16_Tri_b_02","Analyte","DIMBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
7,"20210126_VG_exp_16_Tri_W_02","Analyte","DIMBOA",2.799,3.6,"Tri_W","no","Tri","W","W_no"
