sample_id,precrop,trt,complementation,trt_comp,compound,ng_mL
Tri.b.BX.01,Tri,b,BX,b_comp,AMPO,4.5
Tri.W.01,Tri,W,no,W_no,AMPO,3.7
Tri.b.01,Tri,b,no,b_no,AMPO,1.6
Tri.b.BX.02,Tri,b,BX,b_comp,AMPO,10
Tri.W.02,Tri,W,no,W_no,AMPO,3
Tri.b.02,Tri,b,no,b_no,AMPO,1.7
Tri.b.BX.03,Tri,b,BX,b_comp,AMPO,5.6
Tri.W.03,Tri,W,no,W_no,AMPO,3.2
Tri.b.03,Tri,b,no,b_no,AMPO,1.6
Tri.b.BX.04,Tri,b,BX,b_comp,AMPO,7.2
Tri.W.04,Tri,W,no,W_no,AMPO,3
Tri.b.04,Tri,b,no,b_no,AMPO,1.7
Tri.b.BX.05,Tri,b,BX,b_comp,AMPO,7.4
Tri.W.05,Tri,W,no,W_no,AMPO,2.6
Tri.b.05,Tri,b,no,b_no,AMPO,1.8
Tri.b.BX.06,Tri,b,BX,b_comp,AMPO,8.2
Tri.W.06,Tri,W,no,W_no,AMPO,3.1
Tri.b.06,Tri,b,no,b_no,AMPO,NA
Tri.W.07,Tri,W,no,W_no,AMPO,4.5
Tri.b.07,Tri,b,no,b_no,AMPO,1.6
Tri.b.BX.08,Tri,b,BX,b_comp,AMPO,6.8
Tri.W.08,Tri,W,no,W_no,AMPO,2.5
Tri.b.08,Tri,b,no,b_no,AMPO,1.5
Tri.b.BX.09,Tri,b,BX,b_comp,AMPO,4.8
Tri.W.09,Tri,W,no,W_no,AMPO,3.2
Tri.b.09,Tri,b,no,b_no,AMPO,NA
Tri.b.BX.10,Tri,b,BX,b_comp,AMPO,6.6
Tri.W.10,Tri,W,no,W_no,AMPO,2.5
Tri.b.10,Tri,b,no,b_no,AMPO,1.8
Tri.b.BX.01,Tri,b,BX,b_comp,DIMBOA,NA
Tri.W.01,Tri,W,no,W_no,DIMBOA,203
Tri.b.01,Tri,b,no,b_no,DIMBOA,4.3
