sample_id,trt,precrop,complementation,trt_comp,compound,ng_mL
Tri.b.no.01,b,Tri,no,b_no,DIMBOA_Glc,NA
Tri.b.BX.01,b,Tri,comp,b_comp,DIMBOA_Glc,NA
Tri.W.no.01,W,Tri,no,W_no,DIMBOA_Glc,78.2
Tri.b.no.02,b,Tri,no,b_no,DIMBOA_Glc,NA
Tri.b.BX.03,b,Tri,comp,b_comp,DIMBOA_Glc,NA
Tri.W.no.02,W,Tri,no,W_no,DIMBOA_Glc,102.1
Tri.b.no.03,b,Tri,no,b_no,DIMBOA_Glc,NA
Tri.b.BX.04,b,Tri,comp,b_comp,DIMBOA_Glc,NA
Tri.W.no.04,W,Tri,no,W_no,DIMBOA_Glc,110.6
Tri.b.no.04,b,Tri,no,b_no,DIMBOA_Glc,NA
Tri.W.no.05,W,Tri,no,W_no,DIMBOA_Glc,67.2
Tri.b.no.05,b,Tri,no,b_no,DIMBOA_Glc,NA
Tri.b.BX.06,b,Tri,comp,b_comp,DIMBOA_Glc,NA
Tri.W.no.06,W,Tri,no,W_no,DIMBOA_Glc,56.3
Tri.b.no.06,b,Tri,no,b_no,DIMBOA_Glc,NA
Tri.b.BX.07,b,Tri,comp,b_comp,DIMBOA_Glc,NA
Tri.W.no.07,W,Tri,no,W_no,DIMBOA_Glc,57.6
Tri.b.no.01,b,Tri,no,b_no,HMBOA,NA
Tri.b.BX.01,b,Tri,comp,b_comp,HMBOA,NA
Tri.W.no.01,W,Tri,no,W_no,HMBOA,85.3
Tri.b.no.02,b,Tri,no,b_no,HMBOA,NA
Tri.b.BX.03,b,Tri,comp,b_comp,HMBOA,NA
Tri.W.no.02,W,Tri,no,W_no,HMBOA,109.4
Tri.b.no.03,b,Tri,no,b_no,HMBOA,NA
Tri.b.BX.04,b,Tri,comp,b_comp,HMBOA,NA
Tri.W.no.04,W,Tri,no,W_no,HMBOA,177.8
Tri.b.no.04,b,Tri,no,b_no,HMBOA,NA
Tri.W.no.05,W,Tri,no,W_no,HMBOA,219.1
Tri.b.no.05,b,Tri,no,b_no,HMBOA,NA
Tri.b.BX.06,b,Tri,comp,b_comp,HMBOA,12.5
Tri.W.no.06,W,Tri,no,W_no,HMBOA,142.1
Tri.b.no.06,b,Tri,no,b_no,HMBOA,NA
Tri.b.BX.07,b,Tri,comp,b_comp,HMBOA,3.7
Tri.W.no.07,W,Tri,no,W_no,HMBOA,109.1
Tri.b.no.01,b,Tri,no,b_no,DIMBOA,NA
Tri.b.BX.01,b,Tri,comp,b_comp,DIMBOA,NA
Tri.W.no.01,W,Tri,no,W_no,DIMBOA,26.7
Tri.b.no.02,b,Tri,no,b_no,DIMBOA,NA
Tri.b.BX.03,b,Tri,comp,b_comp,DIMBOA,NA
Tri.W.no.02,W,Tri,no,W_no,DIMBOA,45.6
Tri.b.no.03,b,Tri,no,b_no,DIMBOA,NA
Tri.b.BX.04,b,Tri,comp,b_comp,DIMBOA,NA
Tri.W.no.04,W,Tri,no,W_no,DIMBOA,74.1
Tri.b.no.04,b,Tri,no,b_no,DIMBOA,NA
Tri.W.no.05,W,Tri,no,W_no,DIMBOA,44.8
Tri.b.no.05,b,Tri,no,b_no,DIMBOA,NA
Tri.b.BX.06,b,Tri,comp,b_comp,DIMBOA,NA
Tri.W.no.06,W,Tri,no,W_no,DIMBOA,37.4
Tri.b.no.06,b,Tri,no,b_no,DIMBOA,NA
Tri.b.BX.07,b,Tri,comp,b_comp,DIMBOA,NA
Tri.W.no.07,W,Tri,no,W_no,DIMBOA,31.4
Tri.b.no.01,b,Tri,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.01,b,Tri,comp,b_comp,HDMBOA_Glc,NA
Tri.W.no.01,W,Tri,no,W_no,HDMBOA_Glc,530.3
Tri.b.no.02,b,Tri,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.03,b,Tri,comp,b_comp,HDMBOA_Glc,NA
Tri.W.no.02,W,Tri,no,W_no,HDMBOA_Glc,607.6
Tri.b.no.03,b,Tri,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.04,b,Tri,comp,b_comp,HDMBOA_Glc,NA
Tri.W.no.04,W,Tri,no,W_no,HDMBOA_Glc,1156.7
Tri.b.no.04,b,Tri,no,b_no,HDMBOA_Glc,NA
Tri.W.no.05,W,Tri,no,W_no,HDMBOA_Glc,491.6
Tri.b.no.05,b,Tri,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.06,b,Tri,comp,b_comp,HDMBOA_Glc,26
Tri.W.no.06,W,Tri,no,W_no,HDMBOA_Glc,380.5
Tri.b.no.06,b,Tri,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.07,b,Tri,comp,b_comp,HDMBOA_Glc,NA
Tri.W.no.07,W,Tri,no,W_no,HDMBOA_Glc,542.4
Tri.b.no.01,b,Tri,no,b_no,MBOA,2.7
Tri.b.BX.01,b,Tri,comp,b_comp,MBOA,5.7
Tri.W.no.01,W,Tri,no,W_no,MBOA,397.6
Tri.b.no.02,b,Tri,no,b_no,MBOA,2.8
Tri.b.BX.03,b,Tri,comp,b_comp,MBOA,6.6
Tri.W.no.02,W,Tri,no,W_no,MBOA,309.9
Tri.b.no.03,b,Tri,no,b_no,MBOA,2.1
Tri.b.BX.04,b,Tri,comp,b_comp,MBOA,8.3
Tri.W.no.04,W,Tri,no,W_no,MBOA,632.3
Tri.b.no.04,b,Tri,no,b_no,MBOA,1.9
Tri.W.no.05,W,Tri,no,W_no,MBOA,638.2
Tri.b.no.05,b,Tri,no,b_no,MBOA,2.3
Tri.b.BX.06,b,Tri,comp,b_comp,MBOA,31
Tri.W.no.06,W,Tri,no,W_no,MBOA,556.3
Tri.b.no.06,b,Tri,no,b_no,MBOA,2.6
Tri.b.BX.07,b,Tri,comp,b_comp,MBOA,14.7
Tri.W.no.07,W,Tri,no,W_no,MBOA,411.8
Tri.b.no.01,b,Tri,no,b_no,AMPO,NA
Tri.b.BX.01,b,Tri,comp,b_comp,AMPO,2.8
Tri.W.no.01,W,Tri,no,W_no,AMPO,2.9
Tri.b.no.02,b,Tri,no,b_no,AMPO,NA
Tri.b.BX.03,b,Tri,comp,b_comp,AMPO,2.3
Tri.W.no.02,W,Tri,no,W_no,AMPO,3
Tri.b.no.03,b,Tri,no,b_no,AMPO,NA
Tri.b.BX.04,b,Tri,comp,b_comp,AMPO,2.6
Tri.W.no.04,W,Tri,no,W_no,AMPO,2.8
Tri.b.no.04,b,Tri,no,b_no,AMPO,NA
Tri.W.no.05,W,Tri,no,W_no,AMPO,2.2
Tri.b.no.05,b,Tri,no,b_no,AMPO,NA
Tri.b.BX.06,b,Tri,comp,b_comp,AMPO,2.3
Tri.W.no.06,W,Tri,no,W_no,AMPO,4.9
Tri.b.no.06,b,Tri,no,b_no,AMPO,1.8
Tri.b.BX.07,b,Tri,comp,b_comp,AMPO,2.7
Tri.W.no.07,W,Tri,no,W_no,AMPO,2.3
