pot_id,maize_line,soil,trt,precrop,precrop_var,height_3weeks,height_6weeks,dw_6weeks
c.b.W22.Med.1,W22,changins,b,Med,Med_W22_changins,28.9,84.9,6.632
c.b.W22.Med.2,W22,changins,b,Med,Med_W22_changins,34.4,77.8,6.004
c.b.W22.Med.3,W22,changins,b,Med,Med_W22_changins,35,89.8,9.551
c.b.W22.Med.4,W22,changins,b,Med,Med_W22_changins,40.3,80.2,8.754
c.b.W22.Med.5,W22,changins,b,Med,Med_W22_changins,40.5,80.5,8.192
c.b.W22.Med.6,W22,changins,b,Med,Med_W22_changins,39.5,89.5,9.627
c.b.W22.Med.7,W22,changins,b,Med,Med_W22_changins,NA,NA,NA
c.b.W22.Med.8,W22,changins,b,Med,Med_W22_changins,41.9,86.3,10.011
c.b.W22.Med.9,W22,changins,b,Med,Med_W22_changins,29.6,85.4,8.025
c.b.W22.Med.10,W22,changins,b,Med,Med_W22_changins,38.7,80.7,8.459
c.b.W22.Med.11,W22,changins,b,Med,Med_W22_changins,33.6,89.1,7.981
c.b.W22.Med.12,W22,changins,b,Med,Med_W22_changins,41.8,76.2,7.498
c.w.W22.Med.1,W22,changins,w,Med,Med_W22_changins,34.3,90.7,9.41
c.w.W22.Med.2,W22,changins,w,Med,Med_W22_changins,40.9,98.2,8.185
c.w.W22.Med.3,W22,changins,w,Med,Med_W22_changins,31.5,81.1,5.846
c.w.W22.Med.4,W22,changins,w,Med,Med_W22_changins,38.1,84.85,7.898
c.w.W22.Med.5,W22,changins,w,Med,Med_W22_changins,35.5,98.5,8.372
c.w.W22.Med.6,W22,changins,w,Med,Med_W22_changins,34.8,88.6,8.293
c.w.W22.Med.7,W22,changins,w,Med,Med_W22_changins,40.6,86.3,7.512
c.w.W22.Med.8,W22,changins,w,Med,Med_W22_changins,38,89.5,7.527
c.w.W22.Med.9,W22,changins,w,Med,Med_W22_changins,45.3,88.5,9.446
c.w.W22.Med.10,W22,changins,w,Med,Med_W22_changins,38.5,97.7,8.008
c.w.W22.Med.11,W22,changins,w,Med,Med_W22_changins,36.6,90.4,9.028
c.w.W22.Med.12,W22,changins,w,Med,Med_W22_changins,30.6,89.2,7.409
c.b.W22.Tri.1,W22,changins,b,Tri,Tri_W22_changins,31.8,78,7.884
c.b.W22.Tri.2,W22,changins,b,Tri,Tri_W22_changins,27.2,72.6,5.474
c.b.W22.Tri.3,W22,changins,b,Tri,Tri_W22_changins,34.2,85.2,8.615
c.b.W22.Tri.4,W22,changins,b,Tri,Tri_W22_changins,33.8,80.1,7.494
c.b.W22.Tri.5,W22,changins,b,Tri,Tri_W22_changins,30.1,84.3,7.511
c.b.W22.Tri.6,W22,changins,b,Tri,Tri_W22_changins,37.3,92.6,9.517
c.b.W22.Tri.7,W22,changins,b,Tri,Tri_W22_changins,32.7,80.4,7.753
c.b.W22.Tri.8,W22,changins,b,Tri,Tri_W22_changins,29.7,75.6,5.558
c.b.W22.Tri.9,W22,changins,b,Tri,Tri_W22_changins,35.6,81.3,7.494
c.b.W22.Tri.10,W22,changins,b,Tri,Tri_W22_changins,29.3,79.4,8.095
c.b.W22.Tri.11,W22,changins,b,Tri,Tri_W22_changins,NA,NA,NA
c.b.W22.Tri.12,W22,changins,b,Tri,Tri_W22_changins,38.6,94.3,9.291
c.w.W22.Tri.1,W22,changins,w,Tri,Tri_W22_changins,40.7,88.9,9.088
c.w.W22.Tri.2,W22,changins,w,Tri,Tri_W22_changins,34.6,89.8,8.859
c.w.W22.Tri.3,W22,changins,w,Tri,Tri_W22_changins,37.5,95,8.377
c.w.W22.Tri.4,W22,changins,w,Tri,Tri_W22_changins,43.3,NA,NA
c.w.W22.Tri.5,W22,changins,w,Tri,Tri_W22_changins,42.9,87.2,8.621
c.w.W22.Tri.6,W22,changins,w,Tri,Tri_W22_changins,NA,NA,NA
c.w.W22.Tri.7,W22,changins,w,Tri,Tri_W22_changins,39.5,97.4,9.341
c.w.W22.Tri.8,W22,changins,w,Tri,Tri_W22_changins,40.2,88.9,8.436
c.w.W22.Tri.9,W22,changins,w,Tri,Tri_W22_changins,42.3,91.2,8.562
c.w.W22.Tri.10,W22,changins,w,Tri,Tri_W22_changins,NA,NA,NA
c.w.W22.Tri.11,W22,changins,w,Tri,Tri_W22_changins,32.9,84.3,8.125
c.w.W22.Tri.12,W22,changins,w,Tri,Tri_W22_changins,NA,NA,NA
c.b.B73.Med.1,B73,changins,b,Med,Med_B73_changins,36.5,83.7,7.533
c.b.B73.Med.2,B73,changins,b,Med,Med_B73_changins,45.6,81.9,9.406
c.b.B73.Med.3,B73,changins,b,Med,Med_B73_changins,35.1,78.6,7.481
c.b.B73.Med.4,B73,changins,b,Med,Med_B73_changins,36.5,80.4,8.248
c.b.B73.Med.5,B73,changins,b,Med,Med_B73_changins,32.5,78.9,7.281
c.b.B73.Med.6,B73,changins,b,Med,Med_B73_changins,25.5,73.9,7.144
c.b.B73.Med.7,B73,changins,b,Med,Med_B73_changins,34.6,82.7,7.795
c.b.B73.Med.8,B73,changins,b,Med,Med_B73_changins,46.2,82.8,9.044
c.b.B73.Med.9,B73,changins,b,Med,Med_B73_changins,28.8,77.2,7.035
c.b.B73.Med.10,B73,changins,b,Med,Med_B73_changins,42.1,84.5,7.417
c.b.B73.Med.11,B73,changins,b,Med,Med_B73_changins,38.5,75.3,7.185
c.b.B73.Med.12,B73,changins,b,Med,Med_B73_changins,39.1,81.7,8.073
c.w.B73.Med.1,B73,changins,w,Med,Med_B73_changins,36,85.1,7.187
c.w.B73.Med.2,B73,changins,w,Med,Med_B73_changins,37.1,76.8,6.858
c.w.B73.Med.3,B73,changins,w,Med,Med_B73_changins,34.1,84.5,6.887
c.w.B73.Med.4,B73,changins,w,Med,Med_B73_changins,39.1,78.8,7.82
c.w.B73.Med.5,B73,changins,w,Med,Med_B73_changins,41.3,81.2,6.908
c.w.B73.Med.6,B73,changins,w,Med,Med_B73_changins,36.5,85.2,7.607
c.w.B73.Med.7,B73,changins,w,Med,Med_B73_changins,35.4,77.6,6.953
c.w.B73.Med.8,B73,changins,w,Med,Med_B73_changins,31.9,84.8,7.033
c.w.B73.Med.9,B73,changins,w,Med,Med_B73_changins,36.2,77.8,7.899
c.w.B73.Med.10,B73,changins,w,Med,Med_B73_changins,38.6,85.6,8.518
c.w.B73.Med.11,B73,changins,w,Med,Med_B73_changins,35.2,76.4,7.191
c.w.B73.Med.12,B73,changins,w,Med,Med_B73_changins,36,81.1,6.91
c.b.B73.Tri.1,B73,changins,b,Tri,Tri_B73_changins,33.8,85.9,7.021
c.b.B73.Tri.2,B73,changins,b,Tri,Tri_B73_changins,34.1,80.7,6.53
c.b.B73.Tri.3,B73,changins,b,Tri,Tri_B73_changins,35.3,87.7,7.491
c.b.B73.Tri.4,B73,changins,b,Tri,Tri_B73_changins,34.8,82.5,7.674
c.b.B73.Tri.5,B73,changins,b,Tri,Tri_B73_changins,35.5,79.1,7.548
c.b.B73.Tri.6,B73,changins,b,Tri,Tri_B73_changins,38.5,79,7.111
c.b.B73.Tri.7,B73,changins,b,Tri,Tri_B73_changins,NA,NA,NA
c.b.B73.Tri.8,B73,changins,b,Tri,Tri_B73_changins,33.2,91.2,8.758
c.b.B73.Tri.9,B73,changins,b,Tri,Tri_B73_changins,27.6,85.3,7.009
c.b.B73.Tri.10,B73,changins,b,Tri,Tri_B73_changins,32.1,85.2,7.022
c.b.B73.Tri.11,B73,changins,b,Tri,Tri_B73_changins,32.8,82,7.439
c.b.B73.Tri.12,B73,changins,b,Tri,Tri_B73_changins,35.6,82.6,7.074
c.w.B73.Tri.1,B73,changins,w,Tri,Tri_B73_changins,37,85.1,7.721
c.w.B73.Tri.2,B73,changins,w,Tri,Tri_B73_changins,41,82.8,7.615
c.w.B73.Tri.3,B73,changins,w,Tri,Tri_B73_changins,37.4,75.8,6.27
c.w.B73.Tri.4,B73,changins,w,Tri,Tri_B73_changins,39.4,78,6.198
c.w.B73.Tri.5,B73,changins,w,Tri,Tri_B73_changins,35.6,74.1,6.142
c.w.B73.Tri.6,B73,changins,w,Tri,Tri_B73_changins,37.2,69.1,5.537
c.w.B73.Tri.7,B73,changins,w,Tri,Tri_B73_changins,34.3,74,6.72
c.w.B73.Tri.8,B73,changins,w,Tri,Tri_B73_changins,33.8,85.6,7.736
c.w.B73.Tri.9,B73,changins,w,Tri,Tri_B73_changins,35.9,78.2,6.836
c.w.B73.Tri.10,B73,changins,w,Tri,Tri_B73_changins,35.9,77.1,6.277
c.w.B73.Tri.11,B73,changins,w,Tri,Tri_B73_changins,41.5,78.1,7.068
c.w.B73.Tri.12,B73,changins,w,Tri,Tri_B73_changins,42.1,79.6,7.444
q.b.W22.Med.1,W22,q_matte,b,Med,Med_W22_q_matte,41.2,91.8,11.799
q.b.W22.Med.2,W22,q_matte,b,Med,Med_W22_q_matte,45.3,96.8,10.264
q.b.W22.Med.3,W22,q_matte,b,Med,Med_W22_q_matte,50.3,89.7,12.109
q.b.W22.Med.4,W22,q_matte,b,Med,Med_W22_q_matte,56.6,100.2,12.925
q.b.W22.Med.5,W22,q_matte,b,Med,Med_W22_q_matte,54.1,98.3,13.483
q.b.W22.Med.6,W22,q_matte,b,Med,Med_W22_q_matte,44.1,92.8,9.503
q.b.W22.Med.7,W22,q_matte,b,Med,Med_W22_q_matte,49.3,NA,13.363
q.b.W22.Med.8,W22,q_matte,b,Med,Med_W22_q_matte,47.3,101.4,11.584
q.b.W22.Med.9,W22,q_matte,b,Med,Med_W22_q_matte,42.6,91.4,10.219
q.b.W22.Med.10,W22,q_matte,b,Med,Med_W22_q_matte,46.3,94,11.008
q.b.W22.Med.11,W22,q_matte,b,Med,Med_W22_q_matte,44.1,91.1,10.809
q.b.W22.Med.12,W22,q_matte,b,Med,Med_W22_q_matte,47.2,93.9,12.752
q.w.W22.Med.1,W22,q_matte,w,Med,Med_W22_q_matte,41.4,93.8,10.501
q.w.W22.Med.2,W22,q_matte,w,Med,Med_W22_q_matte,45.1,105,10.85
q.w.W22.Med.3,W22,q_matte,w,Med,Med_W22_q_matte,47.1,89.2,8.834
q.w.W22.Med.4,W22,q_matte,w,Med,Med_W22_q_matte,57.3,94.9,11.301
q.w.W22.Med.5,W22,q_matte,w,Med,Med_W22_q_matte,43.4,104.3,11.909
q.w.W22.Med.6,W22,q_matte,w,Med,Med_W22_q_matte,49.8,97.8,11.963
q.w.W22.Med.7,W22,q_matte,w,Med,Med_W22_q_matte,47.7,89.1,10.412
q.w.W22.Med.8,W22,q_matte,w,Med,Med_W22_q_matte,48.4,91.1,10.847
