Samp_num,pot_id,trt,pre_crop,pre_crop_long,height_harvest,dw_harvest
1,b.Pha.01,b,Pha,Phacelia_tanacetifolia,67.1,4.774
2,b.Pha.02,b,Pha,Phacelia_tanacetifolia,NA,NA
3,b.Pha.03,b,Pha,Phacelia_tanacetifolia,71.8,5.067
4,b.Pha.04,b,Pha,Phacelia_tanacetifolia,66.4,4.743
5,b.Pha.05,b,Pha,Phacelia_tanacetifolia,63.2,4.85
6,b.Pha.06,b,Pha,Phacelia_tanacetifolia,67.8,3.64
7,b.Pha.07,b,Pha,Phacelia_tanacetifolia,66.8,4.329
8,b.Pha.08,b,Pha,Phacelia_tanacetifolia,67.7,4.881
9,b.Pha.09,b,Pha,Phacelia_tanacetifolia,71.5,4.771
10,b.Pha.10,b,Pha,Phacelia_tanacetifolia,69.5,5.14
11,b.Pha.11,b,Pha,Phacelia_tanacetifolia,61.7,4.816
12,b.Pha.12,b,Pha,Phacelia_tanacetifolia,67.5,5.352
13,w.Pha.01,w,Pha,Phacelia_tanacetifolia,75,6.422
14,w.Pha.02,w,Pha,Phacelia_tanacetifolia,72.5,5.874
15,w.Pha.03,w,Pha,Phacelia_tanacetifolia,69.6,5.83
16,w.Pha.04,w,Pha,Phacelia_tanacetifolia,72.1,5.894
17,w.Pha.05,w,Pha,Phacelia_tanacetifolia,75.3,6.777
18,w.Pha.06,w,Pha,Phacelia_tanacetifolia,73.7,6.022
19,w.Pha.07,w,Pha,Phacelia_tanacetifolia,71.9,5.906
20,w.Pha.08,w,Pha,Phacelia_tanacetifolia,72.6,5.099
21,w.Pha.09,w,Pha,Phacelia_tanacetifolia,71,6.21
22,w.Pha.10,w,Pha,Phacelia_tanacetifolia,73.3,6.489
23,w.Pha.11,w,Pha,Phacelia_tanacetifolia,73.5,5.109
24,w.Pha.12,w,Pha,Phacelia_tanacetifolia,76.3,6.255
25,b.Med.01,b,Med,Medicago_sativa,83.1,11.226
26,b.Med.02,b,Med,Medicago_sativa,78.5,9.903
27,b.Med.03,b,Med,Medicago_sativa,82.1,12.234
28,b.Med.04,b,Med,Medicago_sativa,80.1,10.883
29,b.Med.05,b,Med,Medicago_sativa,81.6,10.933
30,b.Med.06,b,Med,Medicago_sativa,86.5,11.28
31,b.Med.07,b,Med,Medicago_sativa,83.5,11.822
32,b.Med.08,b,Med,Medicago_sativa,83.6,11.859
33,b.Med.09,b,Med,Medicago_sativa,82.5,11.913
34,b.Med.10,b,Med,Medicago_sativa,78.5,9.558
35,b.Med.11,b,Med,Medicago_sativa,80.3,11.874
36,b.Med.12,b,Med,Medicago_sativa,86,12.784
37,w.Med.01,w,Med,Medicago_sativa,86.3,11.634
38,w.Med.02,w,Med,Medicago_sativa,82.7,11.104
39,w.Med.03,w,Med,Medicago_sativa,82.6,10.751
40,w.Med.04,w,Med,Medicago_sativa,79.8,10.993
41,w.Med.05,w,Med,Medicago_sativa,87.4,12.643
42,w.Med.06,w,Med,Medicago_sativa,82.5,11.55
43,w.Med.07,w,Med,Medicago_sativa,85.5,11.023
44,w.Med.08,w,Med,Medicago_sativa,84.4,11.453
45,w.Med.09,w,Med,Medicago_sativa,89.4,12.221
46,w.Med.10,w,Med,Medicago_sativa,85.9,11.552
47,w.Med.11,w,Med,Medicago_sativa,87.1,12.272
48,w.Med.12,w,Med,Medicago_sativa,87.9,11.838
49,b.Gly.01,b,Gly,Glycine_max,80.2,10.053
50,b.Gly.02,b,Gly,Glycine_max,79.1,10.08
51,b.Gly.03,b,Gly,Glycine_max,76.7,8.58
52,b.Gly.04,b,Gly,Glycine_max,83.3,11.601
53,b.Gly.05,b,Gly,Glycine_max,85.1,11.948
54,b.Gly.06,b,Gly,Glycine_max,80.1,9.868
55,b.Gly.07,b,Gly,Glycine_max,85.1,11.752
56,b.Gly.08,b,Gly,Glycine_max,80.8,10.395
57,b.Gly.09,b,Gly,Glycine_max,81.2,10.817
58,b.Gly.10,b,Gly,Glycine_max,80.9,11.019
59,b.Gly.11,b,Gly,Glycine_max,78.1,9.821
60,b.Gly.12,b,Gly,Glycine_max,85.8,12.476
61,w.Gly.01,w,Gly,Glycine_max,81.4,10.029
62,w.Gly.02,w,Gly,Glycine_max,85.8,11.306
63,w.Gly.03,w,Gly,Glycine_max,80.8,9.643
64,w.Gly.04,w,Gly,Glycine_max,84.5,10.742
65,w.Gly.05,w,Gly,Glycine_max,85.2,10.232
66,w.Gly.06,w,Gly,Glycine_max,83.7,11.501
67,w.Gly.07,w,Gly,Glycine_max,86.2,12.044
68,w.Gly.08,w,Gly,Glycine_max,89.4,11.664
69,w.Gly.09,w,Gly,Glycine_max,94.4,10.421
70,w.Gly.10,w,Gly,Glycine_max,78.6,10.467
71,w.Gly.11,w,Gly,Glycine_max,84.3,11.15
72,w.Gly.12,w,Gly,Glycine_max,85.6,11.681
73,b.Bra.01,b,Bra,Brassica_napus,73,5.798
74,b.Bra.02,b,Bra,Brassica_napus,76.5,7.019
75,b.Bra.03,b,Bra,Brassica_napus,74.2,6.159
76,b.Bra.04,b,Bra,Brassica_napus,68.4,3.47
77,b.Bra.05,b,Bra,Brassica_napus,71.3,4.395
78,b.Bra.06,b,Bra,Brassica_napus,73,5.595
79,b.Bra.07,b,Bra,Brassica_napus,70.8,5.077
80,b.Bra.08,b,Bra,Brassica_napus,69.3,4.656
81,b.Bra.09,b,Bra,Brassica_napus,71.2,5.576
82,b.Bra.10,b,Bra,Brassica_napus,74.9,6.442
83,b.Bra.11,b,Bra,Brassica_napus,71.5,5.573
84,b.Bra.12,b,Bra,Brassica_napus,73.6,5.404
85,w.Bra.01,w,Bra,Brassica_napus,80.6,6.982
86,w.Bra.02,w,Bra,Brassica_napus,69.6,5.91
87,w.Bra.03,w,Bra,Brassica_napus,74.4,5.76
88,w.Bra.04,w,Bra,Brassica_napus,77.6,6.794
89,w.Bra.05,w,Bra,Brassica_napus,80.7,6.825
90,w.Bra.06,w,Bra,Brassica_napus,71.2,5.81
91,w.Bra.07,w,Bra,Brassica_napus,80.2,7.09
92,w.Bra.08,w,Bra,Brassica_napus,74.4,6.19
93,w.Bra.09,w,Bra,Brassica_napus,72.4,6.942
94,w.Bra.10,w,Bra,Brassica_napus,79.3,6.413
95,w.Bra.11,w,Bra,Brassica_napus,71.8,5.606
96,w.Bra.12,w,Bra,Brassica_napus,76.6,6.489
97,b.Tri.01,b,Tri,Triticum_aestivum,73.4,4.843
98,b.Tri.02,b,Tri,Triticum_aestivum,72.7,4.266
99,b.Tri.03,b,Tri,Triticum_aestivum,76.5,5.078
100,b.Tri.04,b,Tri,Triticum_aestivum,68.1,4.334
101,b.Tri.05,b,Tri,Triticum_aestivum,77,4.528
102,b.Tri.06,b,Tri,Triticum_aestivum,73.2,4.157
103,b.Tri.07,b,Tri,Triticum_aestivum,72.3,4.545
104,b.Tri.08,b,Tri,Triticum_aestivum,74.2,3.045
105,b.Tri.09,b,Tri,Triticum_aestivum,75.1,4.202
106,b.Tri.10,b,Tri,Triticum_aestivum,70.7,3.898
107,b.Tri.11,b,Tri,Triticum_aestivum,77.7,4.009
108,b.Tri.12,b,Tri,Triticum_aestivum,75.5,4.741
109,w.Tri.01,w,Tri,Triticum_aestivum,80.2,7.452
110,w.Tri.02,w,Tri,Triticum_aestivum,79.4,7.681
111,w.Tri.03,w,Tri,Triticum_aestivum,82.3,7.629
112,w.Tri.04,w,Tri,Triticum_aestivum,83.9,8.749
113,w.Tri.05,w,Tri,Triticum_aestivum,84.2,8.377
114,w.Tri.06,w,Tri,Triticum_aestivum,73.7,6.416
115,w.Tri.07,w,Tri,Triticum_aestivum,77.9,7.863
116,w.Tri.08,w,Tri,Triticum_aestivum,77.5,5.975
117,w.Tri.09,w,Tri,Triticum_aestivum,80.7,7.799
118,w.Tri.10,w,Tri,Triticum_aestivum,75.4,5.995
119,w.Tri.11,w,Tri,Triticum_aestivum,81,8.302
120,w.Tri.12,w,Tri,Triticum_aestivum,77.1,6.543
