pre_pot_id,pot_id,X,maize_line,soil,sub_exp,precrop,trt,x_ray,inoculate,complementation,dw_harvest,chloro_harvest,height_harvest
comp,Tri.b.0.01,1,W22,changins,control,Tri,b,no,no,no,0.724,30.6,37.6
comp,Tri.b.0.02,2,W22,changins,control,Tri,b,no,no,no,0.916,34.9,38.1
comp,Tri.b.0.03,3,W22,changins,control,Tri,b,no,no,no,0.867,32.9,37.6
comp,Tri.b.0.04,4,W22,changins,control,Tri,b,no,no,no,0.854,32.5,36.5
comp,Tri.b.0.05,5,W22,changins,control,Tri,b,no,no,no,0.423,30.3,30
comp,Tri.b.0.06,6,W22,changins,control,Tri,b,no,no,no,1.139,35,41.5
comp,Tri.b.0.07,7,W22,changins,control,Tri,b,no,no,no,0.547,29.8,31.3
comp,Tri.b.0.08,8,W22,changins,control,Tri,b,no,no,no,0.565,33,29.1
comp,Tri.b.0.09,9,W22,changins,control,Tri,b,no,no,no,0.964,33,37.4
comp,Tri.b.0.10,10,W22,changins,control,Tri,b,no,no,no,0.721,32.8,34.8
comp,Tri.b.0.11,11,W22,changins,control,Tri,b,no,no,no,0.69,28.4,32.3
comp,Tri.b.0.12,12,W22,changins,control,Tri,b,no,no,no,0.788,31.7,36.8
comp,Tri.b.0.13,13,W22,changins,control,Tri,b,no,no,no,0.431,30.4,29.8
comp,Tri.b.0.14,14,W22,changins,control,Tri,b,no,no,no,NA,NA,NA
comp,Tri.b.0.15,15,W22,changins,control,Tri,b,no,no,no,0.907,33.7,37
comp,Tri.b.0.16,16,W22,changins,control,Tri,b,no,no,no,0.726,26.7,36.7
comp,Tri.W.0.01,1,W22,changins,control,Tri,W,no,no,no,0.965,37.4,41.8
comp,Tri.W.0.02,2,W22,changins,control,Tri,W,no,no,no,0.639,38.5,31.6
comp,Tri.W.0.03,3,W22,changins,control,Tri,W,no,no,no,0.729,34.8,32.8
comp,Tri.W.0.04,4,W22,changins,control,Tri,W,no,no,no,1.008,37.9,42.6
comp,Tri.W.0.05,5,W22,changins,control,Tri,W,no,no,no,1.021,36.8,43.1
comp,Tri.W.0.06,6,W22,changins,control,Tri,W,no,no,no,0.595,39.6,36.4
comp,Tri.W.0.07,7,W22,changins,control,Tri,W,no,no,no,0.707,37.2,36.1
comp,Tri.W.0.08,8,W22,changins,control,Tri,W,no,no,no,0.512,33.1,33.1
comp,Tri.W.0.09,9,W22,changins,control,Tri,W,no,no,no,0.666,40.6,34.8
comp,Tri.W.0.10,10,W22,changins,control,Tri,W,no,no,no,1.08,41.6,44
comp,Tri.W.0.11,11,W22,changins,control,Tri,W,no,no,no,1.055,40,41.6
comp,Tri.W.0.12,12,W22,changins,control,Tri,W,no,no,no,0.878,34.7,38.2
comp,Tri.W.0.13,13,W22,changins,control,Tri,W,no,no,no,0.956,31.9,40.5
comp,Tri.W.0.14,14,W22,changins,control,Tri,W,no,no,no,0.707,39.6,34.3
comp,Tri.W.0.15,15,W22,changins,control,Tri,W,no,no,no,NA,NA,NA
comp,Tri.W.0.16,16,W22,changins,control,Tri,W,no,no,no,0.887,38.9,41.9
comp,Tri.b.BX.01,1,W22,changins,comp,Tri,b,no,no,yes,0.893,34.2,37.6
comp,Tri.b.BX.02,2,W22,changins,comp,Tri,b,no,no,yes,NA,NA,NA
comp,Tri.b.BX.03,3,W22,changins,comp,Tri,b,no,no,yes,0.943,29.3,39.1
comp,Tri.b.BX.04,4,W22,changins,comp,Tri,b,no,no,yes,0.804,33,36.4
comp,Tri.b.BX.05,5,W22,changins,comp,Tri,b,no,no,yes,0.928,34.1,36.9
comp,Tri.b.BX.06,6,W22,changins,comp,Tri,b,no,no,yes,0.916,33.9,39.1
comp,Tri.b.BX.07,7,W22,changins,comp,Tri,b,no,no,yes,0.897,33.6,34.7
comp,Tri.b.BX.08,8,W22,changins,comp,Tri,b,no,no,yes,NA,NA,NA
comp,Tri.b.BX.09,9,W22,changins,comp,Tri,b,no,no,yes,0.906,33.7,37.2
comp,Tri.b.BX.10,10,W22,changins,comp,Tri,b,no,no,yes,0.999,32.2,39.7
comp,Tri.b.BX.11,11,W22,changins,comp,Tri,b,no,no,yes,0.894,35.3,37.5
comp,Tri.b.BX.12,12,W22,changins,comp,Tri,b,no,no,yes,0.714,33.8,35.5
comp,Tri.b.BX.13,13,W22,changins,comp,Tri,b,no,no,yes,0.938,35.3,36.6
comp,Tri.b.BX.14,14,W22,changins,comp,Tri,b,no,no,yes,NA,NA,NA
comp,Tri.b.BX.15,15,W22,changins,comp,Tri,b,no,no,yes,0.922,30.7,37.9
comp,Tri.b.BX.16,16,W22,changins,comp,Tri,b,no,no,yes,0.922,34.3,38.1
x_Ray,Tri.b.x.0.01,1,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.387,35.4,49.3
x_Ray,Tri.b.x.0.02,2,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.558,32.3,50.2
x_Ray,Tri.b.x.0.03,3,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.268,33.6,47.1
x_Ray,Tri.b.x.0.04,4,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.723,34.4,61.6
x_Ray,Tri.b.x.0.05,5,W22,changins,ster_reinoc,Tri,b,yes,no,no,NA,NA,NA
x_Ray,Tri.b.x.0.06,6,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.715,32.1,50.7
x_Ray,Tri.b.x.0.07,7,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.8,39.7,58.9
x_Ray,Tri.b.x.0.08,8,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.499,38.6,52.1
x_Ray,Tri.b.x.0.09,9,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.872,35.6,55
x_Ray,Tri.b.x.0.10,10,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.894,28.9,55.1
x_Ray,Tri.b.x.0.11,11,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.279,36.3,50.6
x_Ray,Tri.b.x.0.12,12,W22,changins,ster_reinoc,Tri,b,yes,no,no,NA,NA,NA
x_Ray,Tri.b.x.0.13,13,W22,changins,ster_reinoc,Tri,b,yes,no,no,NA,NA,NA
x_Ray,Tri.b.x.0.14,14,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.767,36.7,57.7
x_Ray,Tri.b.x.0.15,15,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.808,38.1,58.2
x_Ray,Tri.b.x.0.16,16,W22,changins,ster_reinoc,Tri,b,yes,no,no,1.438,37.9,49
x_Ray,Tri.W.x.0.01,1,W22,changins,ster_reinoc,Tri,W,yes,no,no,NA,NA,NA
x_Ray,Tri.W.x.0.02,2,W22,changins,ster_reinoc,Tri,W,yes,no,no,0.895,36,41.6
x_Ray,Tri.W.x.0.03,3,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.137,36.3,48.3
x_Ray,Tri.W.x.0.04,4,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.533,32,53.9
x_Ray,Tri.W.x.0.05,5,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.225,34.8,51.3
x_Ray,Tri.W.x.0.06,6,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.201,36.4,50.6
x_Ray,Tri.W.x.0.07,7,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.684,32.5,54.9
x_Ray,Tri.W.x.0.08,8,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.127,35,48.9
x_Ray,Tri.W.x.0.09,9,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.266,39.9,49.8
x_Ray,Tri.W.x.0.10,10,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.118,36.2,47.6
x_Ray,Tri.W.x.0.11,11,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.062,37.9,43.4
x_Ray,Tri.W.x.0.12,12,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.371,36.2,49.6
x_Ray,Tri.W.x.0.13,13,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.383,35.5,49.9
x_Ray,Tri.W.x.0.14,14,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.262,31.9,51.8
x_Ray,Tri.W.x.0.15,15,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.016,36.7,46.6
x_Ray,Tri.W.x.0.16,16,W22,changins,ster_reinoc,Tri,W,yes,no,no,1.41,32.4,48.7
x_Ray,Tri.b.x.in.01,1,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.b.x.in.02,2,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,NA,NA,NA
x_Ray,Tri.b.x.in.03,3,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.3,32.1,48.6
x_Ray,Tri.b.x.in.04,4,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.153,31.4,43.7
x_Ray,Tri.b.x.in.05,5,W22,changins,ster_reinoc,Tri,b,yes,Tri,no,1.019,30.8,44.6
