pot_id,precrop,maize_line,trt,complementation,height_harvest,dw_harvest,chloro_harvest
Tri.W22.b.no.01,Tri,W22,b,no,43.7,1.1,37.4
Tri.W22.b.no.02,Tri,W22,b,no,45.3,1.434,29
Tri.W22.b.no.03,Tri,W22,b,no,38.4,1.323,33.8
Tri.W22.b.no.04,Tri,W22,b,no,48.5,1.4482,32.8
Tri.W22.b.no.05,Tri,W22,b,no,34.6,0.809,28.9
Tri.W22.b.no.06,Tri,W22,b,no,34.5,0.559,27
Tri.W22.b.no.07,Tri,W22,b,no,39.2,1.229,37
Tri.W22.b.no.08,Tri,W22,b,no,40.1,0.85,34.5
Tri.W22.b.no.09,Tri,W22,b,no,43.6,1.281,32.4
Tri.W22.b.no.10,Tri,W22,b,no,39.5,1.261,35.1
Tri.W22.b.no.11,Tri,W22,b,no,38.7,0.95,31.3
Tri.W22.b.no.12,Tri,W22,b,no,45.1,1.334,32.6
Tri.W22.b.no.13,Tri,W22,b,no,41.1,1.004,38.2
Tri.W22.b.no.14,Tri,W22,b,no,33.3,0.486,30.4
Tri.W22.b.no.15,Tri,W22,b,no,NA,NA,NA
Tri.W22.b.no.16,Tri,W22,b,no,42.4,1.202,33.5
Tri.W22.W.no.01,Tri,W22,W,no,43.6,1.1304,36.2
Tri.W22.W.no.02,Tri,W22,W,no,44.3,1.323,35.9
Tri.W22.W.no.03,Tri,W22,W,no,40.4,0.994,37.2
Tri.W22.W.no.04,Tri,W22,W,no,39.6,1.013,36.6
Tri.W22.W.no.05,Tri,W22,W,no,47.4,1.469,36.3
Tri.W22.W.no.06,Tri,W22,W,no,39.2,1.139,37.4
Tri.W22.W.no.07,Tri,W22,W,no,46.2,1.46,36.8
Tri.W22.W.no.08,Tri,W22,W,no,47.9,1.527,37.9
Tri.W22.W.no.09,Tri,W22,W,no,41.2,0.961,36
Tri.W22.W.no.10,Tri,W22,W,no,36.4,0.725,32.2
Tri.W22.W.no.11,Tri,W22,W,no,39.2,0.662,36.9
Tri.W22.W.no.12,Tri,W22,W,no,36.7,0.595,36.6
Tri.W22.W.no.13,Tri,W22,W,no,NA,NA,NA
Tri.W22.W.no.14,Tri,W22,W,no,42.1,1.235,37.5
Tri.W22.W.no.15,Tri,W22,W,no,37.8,0.787,40
Tri.W22.W.no.16,Tri,W22,W,no,40.3,0.808,37.3
Tri.W22.b.BX.01,Tri,W22,b,yes,NA,NA,NA
Tri.W22.b.BX.02,Tri,W22,b,yes,40.1,1.131,31.8
Tri.W22.b.BX.03,Tri,W22,b,yes,40.9,1.212,30.2
Tri.W22.b.BX.04,Tri,W22,b,yes,41.1,1.167,35.8
Tri.W22.b.BX.05,Tri,W22,b,yes,43.8,1.488,34.6
Tri.W22.b.BX.06,Tri,W22,b,yes,40.5,1.109,30.5
Tri.W22.b.BX.07,Tri,W22,b,yes,44.2,1.209,36.9
Tri.W22.b.BX.08,Tri,W22,b,yes,43.4,1.168,34.6
Tri.W22.b.BX.09,Tri,W22,b,yes,43.7,1.202,34.1
Tri.W22.b.BX.10,Tri,W22,b,yes,45.9,1.358,38.2
Tri.W22.b.BX.11,Tri,W22,b,yes,43.7,1.17,38.6
Tri.W22.b.BX.12,Tri,W22,b,yes,41.7,1.068,36.3
Tri.W22.b.BX.13,Tri,W22,b,yes,45.9,1.371,36.9
Tri.W22.b.BX.14,Tri,W22,b,yes,40.8,1.222,37
Tri.W22.b.BX.15,Tri,W22,b,yes,40,1.037,39
Tri.W22.b.BX.16,Tri,W22,b,yes,39.1,1.079,39.6
