pot_id,maize_line,precrop,trt,sterilization,inoculation,pre_x_in,height_harvest,chloro_harvest,dw_harvest
Tri.b.no.no.01,W22,Tri,b,no,no,Tri_no_no,29.7,29.6,0.394
Tri.b.no.no.02,W22,Tri,b,no,no,Tri_no_no,30.6,29.4,0.6264
Tri.b.no.no.03,W22,Tri,b,no,no,Tri_no_no,30.3,22.2,0.3598
Tri.b.no.no.04,W22,Tri,b,no,no,Tri_no_no,24.5,24.1,0.2092
Tri.b.no.no.05,W22,Tri,b,no,no,Tri_no_no,25.6,26.2,0.3013
Tri.b.no.no.06,W22,Tri,b,no,no,Tri_no_no,29.3,26.6,0.3475
Tri.b.no.no.07,W22,Tri,b,no,no,Tri_no_no,32.6,29.5,0.5425
Tri.b.no.no.08,W22,Tri,b,no,no,Tri_no_no,35.2,31.8,0.7857
Tri.b.no.no.09,W22,Tri,b,no,no,Tri_no_no,29.3,27.1,0.4566
Tri.b.no.no.10,W22,Tri,b,no,no,Tri_no_no,36.4,27.4,0.9017
Tri.b.no.no.11,W22,Tri,b,no,no,Tri_no_no,39.4,29.7,0.8534
Tri.b.no.no.12,W22,Tri,b,no,no,Tri_no_no,33.6,30.8,0.5742
Tri.b.no.no.13,W22,Tri,b,no,no,Tri_no_no,29.9,23.8,0.3887
Tri.b.no.no.14,W22,Tri,b,no,no,Tri_no_no,32.3,31.1,0.6164
Tri.b.no.no.15,W22,Tri,b,no,no,Tri_no_no,36.1,29.8,0.7719
Tri.b.no.no.16,W22,Tri,b,no,no,Tri_no_no,37.4,29.6,0.7699
Tri.W.no.no.01,W22,Tri,W,no,no,Tri_no_no,36.5,32.8,0.7524
Tri.W.no.no.02,W22,Tri,W,no,no,Tri_no_no,NA,NA,NA
Tri.W.no.no.03,W22,Tri,W,no,no,Tri_no_no,38.8,29.8,0.8887
Tri.W.no.no.04,W22,Tri,W,no,no,Tri_no_no,40.6,31.2,0.9109
Tri.W.no.no.05,W22,Tri,W,no,no,Tri_no_no,40.5,27.8,1.1389
Tri.W.no.no.06,W22,Tri,W,no,no,Tri_no_no,38,31.6,0.8867
Tri.W.no.no.07,W22,Tri,W,no,no,Tri_no_no,41.3,35.4,0.9741
Tri.W.no.no.08,W22,Tri,W,no,no,Tri_no_no,36.3,30.7,0.9533
Tri.W.no.no.09,W22,Tri,W,no,no,Tri_no_no,37.4,32.7,0.8487
Tri.W.no.no.10,W22,Tri,W,no,no,Tri_no_no,40.6,34.7,0.8983
Tri.W.no.no.11,W22,Tri,W,no,no,Tri_no_no,38.9,33.5,0.6617
Tri.W.no.no.12,W22,Tri,W,no,no,Tri_no_no,42,33.2,0.9579
Tri.W.no.no.13,W22,Tri,W,no,no,Tri_no_no,37.9,33.7,0.8883
Tri.W.no.no.14,W22,Tri,W,no,no,Tri_no_no,35.6,31.3,0.7554
Tri.W.no.no.15,W22,Tri,W,no,no,Tri_no_no,41.2,34,0.8877
Tri.W.no.no.16,W22,Tri,W,no,no,Tri_no_no,37.1,34.6,0.6719
Tri.b.x.no.01,W22,Tri,b,yes,no,Tri_yes_no,55.2,30.9,1.6394
