"Samp_num","pot_id","pre_crop","pre_crop_long","dw_precrop"
1,"Pha.01","Pha","Phacelia_tanacetifolia",5.622
2,"Pha.02","Pha","Phacelia_tanacetifolia",5.749
3,"Pha.03","Pha","Phacelia_tanacetifolia",5.995
4,"Pha.04","Pha","Phacelia_tanacetifolia",5.238
5,"Pha.05","Pha","Phacelia_tanacetifolia",5.383
6,"Pha.06","Pha","Phacelia_tanacetifolia",5.055
7,"Pha.07","Pha","Phacelia_tanacetifolia",4.682
8,"Pha.08","Pha","Phacelia_tanacetifolia",5.228
9,"Pha.09","Pha","Phacelia_tanacetifolia",4.845
10,"Pha.10","Pha","Phacelia_tanacetifolia",6.343
11,"Pha.11","Pha","Phacelia_tanacetifolia",6.651
12,"Pha.12","Pha","Phacelia_tanacetifolia",5.966
13,"Pha.13","Pha","Phacelia_tanacetifolia",5.664
14,"Pha.14","Pha","Phacelia_tanacetifolia",5.785
15,"Pha.15","Pha","Phacelia_tanacetifolia",5.376
16,"Pha.16","Pha","Phacelia_tanacetifolia",4.864
17,"Pha.17","Pha","Phacelia_tanacetifolia",5.342
18,"Pha.18","Pha","Phacelia_tanacetifolia",5.189
19,"Pha.19","Pha","Phacelia_tanacetifolia",5.575
20,"Pha.20","Pha","Phacelia_tanacetifolia",5.129
21,"Pha.21","Pha","Phacelia_tanacetifolia",6.262
22,"Pha.22","Pha","Phacelia_tanacetifolia",6.257
23,"Pha.23","Pha","Phacelia_tanacetifolia",5.04
24,"Pha.24","Pha","Phacelia_tanacetifolia",6.08
25,"Med.01","Med","Medicago_sativa",3.922
26,"Med.02","Med","Medicago_sativa",3.222
27,"Med.03","Med","Medicago_sativa",3.414
28,"Med.04","Med","Medicago_sativa",4.13
29,"Med.05","Med","Medicago_sativa",3.16
30,"Med.06","Med","Medicago_sativa",3.277
31,"Med.07","Med","Medicago_sativa",3.444
32,"Med.08","Med","Medicago_sativa",3.976
33,"Med.09","Med","Medicago_sativa",3.206
34,"Med.10","Med","Medicago_sativa",3.447
35,"Med.11","Med","Medicago_sativa",2.713
36,"Med.12","Med","Medicago_sativa",3.346
37,"Med.13","Med","Medicago_sativa",3.529
38,"Med.14","Med","Medicago_sativa",3.483
39,"Med.15","Med","Medicago_sativa",3.493
40,"Med.16","Med","Medicago_sativa",3.789
41,"Med.17","Med","Medicago_sativa",3.142
42,"Med.18","Med","Medicago_sativa",4.026
43,"Med.19","Med","Medicago_sativa",3.726
44,"Med.20","Med","Medicago_sativa",3.292
45,"Med.21","Med","Medicago_sativa",2.291
46,"Med.22","Med","Medicago_sativa",2.721
47,"Med.23","Med","Medicago_sativa",3.169
48,"Med.24","Med","Medicago_sativa",3.73
49,"Gly.01","Gly","Glycine_max",6.458
50,"Gly.02","Gly","Glycine_max",8.93
51,"Gly.03","Gly","Glycine_max",7.717
52,"Gly.04","Gly","Glycine_max",5.764
53,"Gly.05","Gly","Glycine_max",7.949
54,"Gly.06","Gly","Glycine_max",8.595
55,"Gly.07","Gly","Glycine_max",5.832
56,"Gly.08","Gly","Glycine_max",6.619
57,"Gly.09","Gly","Glycine_max",5.808
58,"Gly.10","Gly","Glycine_max",6.451
59,"Gly.11","Gly","Glycine_max",6.604
60,"Gly.12","Gly","Glycine_max",6.346
61,"Gly.13","Gly","Glycine_max",7.655
62,"Gly.14","Gly","Glycine_max",5.41
63,"Gly.15","Gly","Glycine_max",5.58
64,"Gly.16","Gly","Glycine_max",8.431
65,"Gly.17","Gly","Glycine_max",6.127
66,"Gly.18","Gly","Glycine_max",6.733
67,"Gly.19","Gly","Glycine_max",5.936
68,"Gly.20","Gly","Glycine_max",8.387
69,"Gly.21","Gly","Glycine_max",5.963
70,"Gly.22","Gly","Glycine_max",6.349
71,"Gly.23","Gly","Glycine_max",7.08
72,"Gly.24","Gly","Glycine_max",8.742
73,"Bra.01","Bra","Brassica_napus",10.542
74,"Bra.02","Bra","Brassica_napus",10.029
75,"Bra.03","Bra","Brassica_napus",9.972
76,"Bra.04","Bra","Brassica_napus",9.968
77,"Bra.05","Bra","Brassica_napus",9.077
78,"Bra.06","Bra","Brassica_napus",10.655
79,"Bra.07","Bra","Brassica_napus",9.924
80,"Bra.08","Bra","Brassica_napus",11.646
81,"Bra.09","Bra","Brassica_napus",11.979
82,"Bra.10","Bra","Brassica_napus",10.664
83,"Bra.11","Bra","Brassica_napus",10.312
84,"Bra.12","Bra","Brassica_napus",10.105
85,"Bra.13","Bra","Brassica_napus",11.39
86,"Bra.14","Bra","Brassica_napus",10.706
87,"Bra.15","Bra","Brassica_napus",10.373
88,"Bra.16","Bra","Brassica_napus",10.199
89,"Bra.17","Bra","Brassica_napus",10.131
90,"Bra.18","Bra","Brassica_napus",10.718
91,"Bra.19","Bra","Brassica_napus",9.746
92,"Bra.20","Bra","Brassica_napus",11.229
93,"Bra.21","Bra","Brassica_napus",10.953
94,"Bra.22","Bra","Brassica_napus",11.101
95,"Bra.23","Bra","Brassica_napus",10.109
96,"Bra.24","Bra","Brassica_napus",10.155
97,"Tri.01","Tri","Triticum_aestivum",5.262
98,"Tri.02","Tri","Triticum_aestivum",4.427
99,"Tri.03","Tri","Triticum_aestivum",4.148
100,"Tri.04","Tri","Triticum_aestivum",5.322
101,"Tri.05","Tri","Triticum_aestivum",4.666
102,"Tri.06","Tri","Triticum_aestivum",4.873
103,"Tri.07","Tri","Triticum_aestivum",6.159
104,"Tri.08","Tri","Triticum_aestivum",4.863
105,"Tri.09","Tri","Triticum_aestivum",5.395
106,"Tri.10","Tri","Triticum_aestivum",5.733
107,"Tri.11","Tri","Triticum_aestivum",5.213
108,"Tri.12","Tri","Triticum_aestivum",5.165
109,"Tri.13","Tri","Triticum_aestivum",5.715
110,"Tri.14","Tri","Triticum_aestivum",5.461
111,"Tri.15","Tri","Triticum_aestivum",4.525
112,"Tri.16","Tri","Triticum_aestivum",4.539
113,"Tri.17","Tri","Triticum_aestivum",4.219
114,"Tri.18","Tri","Triticum_aestivum",5.099
115,"Tri.19","Tri","Triticum_aestivum",5.202
116,"Tri.20","Tri","Triticum_aestivum",5.574
117,"Tri.21","Tri","Triticum_aestivum",5.961
118,"Tri.22","Tri","Triticum_aestivum",4.986
119,"Tri.23","Tri","Triticum_aestivum",4.843
120,"Tri.24","Tri","Triticum_aestivum",5.294
