pot_id,precrop,dw_precrop
Tri.01,Tri,3.177
Tri.02,Tri,2.497
Tri.03,Tri,2.802
Tri.04,Tri,2.412
Tri.05,Tri,2.819
Tri.06,Tri,2.631
Tri.07,Tri,2.739
Tri.08,Tri,2.382
Tri.09,Tri,2.812
Tri.10,Tri,1.944
Tri.11,Tri,2.55
Tri.12,Tri,2.756
Tri.13,Tri,2.399
Tri.14,Tri,2.094
Tri.15,Tri,2.671
Tri.16,Tri,2.326
Tri.17,Tri,3.399
Tri.18,Tri,3.218
Tri.19,Tri,3.106
Tri.20,Tri,3.333
Tri.21,Tri,3.04
Tri.22,Tri,3.229
Tri.23,Tri,3.609
Tri.24,Tri,3.189
Tri.25,Tri,3.249
Tri.26,Tri,3.291
Tri.27,Tri,3.377
Tri.28,Tri,2.674
Tri.29,Tri,3.165
Tri.30,Tri,3.053
Tri.31,Tri,3.496
Tri.32,Tri,2.66
Tri.33,Tri,2.844
Tri.34,Tri,3.334
Tri.35,Tri,2.696
Tri.36,Tri,3.082
Tri.37,Tri,3.288
Tri.38,Tri,2.943
Tri.39,Tri,3.008
Tri.40,Tri,2.653
Tri.41,Tri,3.211
Tri.42,Tri,3.124
Tri.43,Tri,2.694
Tri.44,Tri,2.843
Tri.45,Tri,2.347
Tri.46,Tri,2.448
Tri.47,Tri,4.018
Tri.48,Tri,2.539
Tri.49,Tri,3.058
Tri.50,Tri,3.248
Tri.51,Tri,3.614
Tri.52,Tri,3.093
Tri.53,Tri,3.794
Tri.54,Tri,3.016
Tri.55,Tri,3.814
Tri.56,Tri,2.77
Tri.57,Tri,3.341
Tri.58,Tri,2.844
Tri.59,Tri,3.224
Tri.60,Tri,2.807
Tri.61,Tri,3.011
Tri.62,Tri,2.783
Tri.63,Tri,3.387
Tri.64,Tri,3.362
Tri.65,Tri,3.552
Tri.66,Tri,3.734
Tri.67,Tri,2.863
Tri.68,Tri,3.264
Tri.69,Tri,2.618
Tri.70,Tri,2.538
Tri.71,Tri,2.931
Tri.72,Tri,3.04
Tri.73,Tri,3.226
Tri.74,Tri,3.201
Tri.75,Tri,3.676
Tri.76,Tri,2.905
Tri.77,Tri,3.812
Tri.78,Tri,3.155
Tri.79,Tri,3.389
Tri.80,Tri,3.144
Tri.81,Tri,3.676
Tri.82,Tri,2.784
Tri.83,Tri,3.269
Tri.84,Tri,3.569
Tri.85,Tri,2.188
Tri.86,Tri,3.061
Tri.87,Tri,3.077
Tri.88,Tri,3.241
Tri.89,Tri,3.386
Tri.90,Tri,3.359
Tri.91,Tri,3.468
Tri.92,Tri,4.039
