sample_id,precrop,dw_precrop
Tri_1,Tri,3.272
Tri_2,Tri,3.491
Tri_3,Tri,3.328
Tri_4,Tri,3.465
Tri_5,Tri,3.523
Tri_6,Tri,4.176
Tri_7,Tri,3.359
Tri_8,Tri,3.107
Tri_9,Tri,3.389
Tri_10,Tri,2.58
Tri_11,Tri,3.056
Tri_12,Tri,3.767
Tri_13,Tri,4.313
Tri_14,Tri,3.802
Tri_15,Tri,3.638
Tri_16,Tri,3.871
Tri_17,Tri,3.798
Tri_18,Tri,3.837
Tri_19,Tri,2.567
Tri_20,Tri,4.263
Tri_21,Tri,2.9
Tri_22,Tri,4.401
Tri_23,Tri,2.933
Tri_24,Tri,3.393
Tri_25,Tri,3.305
Tri_26,Tri,3.787
Tri_27,Tri,3.558
Tri_28,Tri,3.532
Tri_29,Tri,3.613
Tri_30,Tri,3.42
Tri_31,Tri,3.201
Tri_32,Tri,3.324
Tri_33,Tri,3.145
Tri_34,Tri,3.752
Tri_35,Tri,3.569
Tri_36,Tri,3.852
Tri_37,Tri,3.334
Tri_38,Tri,4.265
Tri_39,Tri,3.332
Tri_40,Tri,3.74
Tri_41,Tri,3.518
Tri_42,Tri,3.96
Tri_43,Tri,3.989
Tri_44,Tri,3.812
Tri_45,Tri,4.024
Tri_46,Tri,3.9
Tri_47,Tri,4.102
Tri_48,Tri,3.38
Tri_49,Tri,3.75
Tri_50,Tri,3.184
Tri_51,Tri,3.37
Tri_52,Tri,4.055
Tri_53,Tri,3.776
Tri_54,Tri,3.604
Tri_55,Tri,4.196
Tri_56,Tri,3.743
Tri_57,Tri,3.776
Tri_58,Tri,5.019
Tri_59,Tri,3.856
Tri_60,Tri,4.111
Tri_61,Tri,5.068
Tri_62,Tri,3.882
Tri_63,Tri,4.671
Tri_64,Tri,4.642
Tri_65,Tri,3.302
Tri_66,Tri,4.178
Tri_67,Tri,3.69
Tri_68,Tri,4.196
Tri_69,Tri,3.254
Tri_70,Tri,4.576
Tri_71,Tri,4.361
Tri_72,Tri,4.809
Tri_73,Tri,3.907
Tri_74,Tri,4.108
Tri_75,Tri,4.08
Tri_76,Tri,3.568
Tri_77,Tri,4.449
Tri_78,Tri,5.071
Tri_79,Tri,4.427
Tri_80,Tri,4.882
Tri_81,Tri,3.854
Tri_82,Tri,4.677
Tri_83,Tri,3.934
Tri_84,Tri,3.801
Tri_85,Tri,4.12
Tri_86,Tri,4.357
Tri_87,Tri,3.911
Tri_88,Tri,4.904
Tri_89,Tri,4.233
Tri_90,Tri,3.714
Tri_91,Tri,4.88
Tri_92,Tri,3.658
Tri_93,Tri,3.772
Tri_94,Tri,4.45
Tri_95,Tri,3.339
Tri_96,Tri,4.699
Tri_97,Tri,3.264
Tri_98,Tri,4.294
